geo_id_ct,muni_nei,fips,total_pop,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Black,Indigenous/Native American,Asian,Native Hawaiian/Pacific Islander,White,Two or More Races,households,Family Households,Nonfamily Households,Households with Children,Households with No Children,over_25_dem,Less than High School,High School Degree or Equivalent,Some College,Bachelor's Degree,Master's Degree,Doctoral/Professional Degree,civ_lf_denom,Employed,Unemployed,hhincome,Owner-Occupied Housing Units,Renter-Occupied Housing Units,workers_16up_denom,Public Transportation,Bicycle,Walking,No Vehicle,One Vehicle,Two or More Vehicles
4270,Millvale,42003427000,3706,51.67,48.33,2.56,5.13,2.64,4.83,11.25,16.86,8.99,13.14,17.65,12.25,3.16,1.54,8.88,0,0.65,0,86.89,3.59,1903,36.99,63.01,16.61,83.39,2727,8.65,39.57,33.81,12.69,4.66,0.62,2254,95.3,4.7,41060,41.67,58.33,2127,9.45,0.8,8.27,17.18,53.91,28.9
4271,Shaler Twp,42003427100,5446,51.05,48.95,5.73,3.07,5.51,4,4.06,13.5,8.78,17.44,17.35,11.04,6.68,2.85,0.04,0,0,1.16,94.58,3.23,2306,70.77,29.23,28.53,71.47,4228,3.45,35.45,24.17,23.51,10,3.41,3131,95.02,4.98,86974,95.53,4.47,2942,3.87,0,0.54,2.86,30.31,66.82
4272,Shaler Twp,42003427200,4799,51.91,48.09,6.06,6.4,2.94,2.23,3.46,14.75,11.36,15.42,16.77,10.48,7.65,2.48,2.27,0,0,0,96.96,0,2301,60.8,39.2,21.6,78.4,3787,4.22,36.73,28.97,17.85,8.11,4.12,2532,97.55,2.45,60617,73.27,26.73,2423,3.1,0,0.33,10.3,35.94,53.76
4281,Reserve Twp,42003428100,1194,49.08,50.92,3.18,1.01,5.36,3.52,8.12,15.83,11.47,15.75,18.51,9.13,5.95,2.18,1.84,0,2.26,0,93.13,2.76,515,62.91,37.09,18.45,81.55,941,3.83,42.72,28.37,19.77,2.66,2.66,763,97.77,2.23,64095,83.11,16.89,746,11.66,1.07,0.67,4.85,33.01,62.15
4282,Reserve Twp,42003428200,2072,47.64,52.36,4.73,5.36,4.54,2.12,6.56,15.54,10.42,13.32,17.86,10.33,7.96,1.25,1.35,0,0,0,97.73,0.53,916,61.46,38.54,19.43,80.57,1589,5.73,37.38,28.63,18.25,8.06,1.95,1281,96.64,3.36,69286,88.32,11.68,1219,1.8,0,1.15,3.06,34.5,62.45
4291,Ross Twp,42003429100,2618,41.79,58.21,3.36,5.08,5.77,4.35,7.1,15.93,13.03,14.55,12.8,8.98,4.47,4.58,1.95,0,5.54,0,92.32,0.11,1174,51.87,48.13,26.92,73.08,1946,3.96,25.28,28.73,27.9,9.97,4.16,1488,97.04,2.96,64595,57.5,42.5,1389,6.91,0,0.79,9.97,35.86,54.18
4292.01,Ross Twp,42003429201,4496,49.38,50.62,6.76,4.98,3.58,2.29,3.87,16.9,12.08,8.61,15.39,12.61,8.27,4.65,1.71,0,9.41,0,86.05,2.11,1884,65.5,34.5,20.91,79.09,3530,5.5,16.97,18.53,35.18,17.14,6.68,2330,98.15,1.85,94837,73.41,26.59,2257,7.53,0,0.62,4.19,36.68,59.13
4292.02,Ross Twp,42003429202,4415,50.06,49.94,4.76,7.59,7.02,2.06,4.85,13.57,11.96,12.03,15.49,12.14,5.93,2.6,1.09,0,3.13,0,93.95,0.75,1799,69.76,30.24,27.07,72.93,3255,2.24,14.53,26.54,34.69,13.55,8.45,2459,98.01,1.99,87950,93.05,6.95,2352,1.57,0,0,1.33,29.35,69.32
4293,Ross Twp,42003429300,5740,46.93,53.07,7.75,2.7,3.95,2.3,5.42,11.97,12.6,9.13,17.72,12.49,7.33,6.64,5.47,0,0.16,0,93.28,0.85,2457,62.8,37.2,21.29,78.71,4470,7.25,27.32,19.24,27.23,13.65,5.32,3142,97.77,2.23,78831,79.24,20.76,3028,1.49,0,2.05,4.72,37.2,58.07
4294,Ross Twp,42003429400,4053,47,53,5.87,6.02,6.71,2.37,2.76,16.65,10.41,11.92,18.48,11.89,5.35,1.55,2,0,1.18,0,95.29,1.53,1812,63.41,36.59,24.28,75.72,3091,3.66,22,29.08,30.38,11.84,3.04,2250,97.82,2.18,78514,85.98,14.02,2177,2.89,0,2.99,0.94,39.62,59.44
4295,Ross Twp,42003429500,3823,46.77,53.23,2.41,4.92,3.17,0.6,5.15,19.75,11.12,11.22,17.71,16.19,4,3.77,4.19,0,6.77,0,87.76,1.28,2211,40.07,59.93,9.27,90.73,3202,6.03,16.61,25.48,34.73,11.87,5.28,2332,95.67,4.33,63785,59.61,40.39,2235,10.65,0,0.04,10.54,46.18,43.28
4296,Ross Twp,42003429600,3363,47.1,52.9,7.37,7.37,1.58,1.81,5.32,17.66,19.12,9.31,15.19,9.19,4.64,1.43,4.82,0.21,0.36,0,93.4,0.92,1542,53.76,46.24,22.5,77.5,2574,4.04,21.79,24.4,32.98,14.02,2.76,1999,95.75,4.25,71406,69.33,30.67,1887,9.96,0.58,0,2.79,37.09,60.11
4297,Ross Twp,42003429700,2095,43.1,56.9,4.34,2.77,2.91,3.58,4.44,18.76,9.21,13.99,16.18,11.46,9.5,2.86,2.2,0,1.05,0,96.71,0.05,1017,57.82,42.18,19.37,80.63,1717,2.27,34.89,30.05,23.35,8.68,0.76,1227,91.52,8.48,64095,87.32,12.68,1117,7.97,0,0,5.7,40.02,54.27
4301,West View,42003430100,2115,46.86,53.14,6.05,6.43,3.78,2.93,8.32,23.88,11.73,10.21,13.9,7.33,4.16,1.28,4.07,0,0.85,0,91.49,2.51,901,56.05,43.95,27.41,72.59,1533,5.61,29.48,31.77,25.9,6.46,0.78,1396,94.91,5.09,63087,69.03,30.97,1310,11.53,0,0.46,4.22,42.29,53.5
4302,West View,42003430200,4486,47.44,52.56,7.27,6.51,3.61,2.72,8.81,13.37,14.09,11.32,16.14,6.55,6.22,3.39,0.67,0.36,0,0,97.55,1.43,1992,56.73,43.27,26.51,73.49,3189,5.39,37.75,24.52,20.48,8.44,3.42,2623,94.13,5.87,60171,66.52,33.48,2404,4.87,0,3,8.63,44.33,47.04
4311,Bellevue,42003431100,3068,51.69,48.31,4.37,4.53,2.05,3,7.53,27.9,11.51,10.27,16.66,7.3,3.06,1.83,10.5,0.26,0.33,0,84.84,2.05,1751,38.95,61.05,18.56,81.44,2409,3.78,23.12,32.13,31.3,8.09,1.58,2077,94.8,5.2,51162,44.66,55.34,1921,16.09,1.98,1.77,17.59,48.14,34.26
4314,Bellevue,42003431400,1854,48,52,2.86,4.21,3.88,0.81,11.38,19.42,13.86,14.02,17.15,7.61,3.24,1.56,19.58,0,0,0,77.62,2.8,965,41.14,58.86,13.78,86.22,1425,4.35,25.05,36.07,25.68,8.84,0,1257,95.7,4.3,54814,47.98,52.02,1176,8.59,0,5.53,15.34,45.18,39.48
4315,Bellevue,42003431500,3224,45.75,54.25,1.77,4.5,1.3,0.34,4.59,38,8.68,8.5,13.74,11.79,4.09,2.7,7.17,0,0,0,89.05,2.98,1868,29.01,70.99,9.8,90.2,2821,8.72,27.61,26.73,26.66,6.2,4.07,2254,98.09,1.91,41250,24.73,75.27,2198,13.28,0.64,10.42,20.34,49.04,30.62
4323,Avalon,42003432300,2229,49.53,50.47,3.36,3.45,0.45,2.96,6.28,21.53,12.7,7.76,14.8,10.86,9.78,6.06,12.52,2.02,0,0,79.09,4.67,1260,32.46,67.54,12.06,87.94,1861,6.02,37.83,28.48,23.32,4.35,0,1365,97.73,2.27,41180,46.43,53.57,1303,10.28,0,4.07,23.73,45.08,31.19
4324,Avalon,42003432400,2355,49.89,50.11,5.1,2.59,3.91,2.59,4.03,23.18,15.12,14.23,13.5,9.34,5.05,1.36,7.52,0.13,0,0,88.2,2.93,1232,47.73,52.27,17.69,82.31,1926,2.7,25.08,33.07,26.64,10.44,2.08,1577,95.69,4.31,50658,55.03,44.97,1481,7.83,0.95,2.9,12.58,45.94,41.48
