business_status,formatted_address,name,price_level,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,lat,lng,census_code
OPERATIONAL,"1 Woodland Rd, Pittsburgh, PA 15232",Athletic and Fitness Center,NA,4.2,"['gym', 'health', 'point_of_interest', 'establishment']",9,40.4466581,-79.9242237,40.44812892989273,-79.92280167010728,40.44542927010728,-79.92550132989271,40.4466581,-79.9242237,420031402001
OPERATIONAL,"503 Herron Ave, Pittsburgh, PA 15219",Society,NA,4.6,"['hair_care', 'health', 'point_of_interest', 'establishment']",38,40.449006,-79.9651031,40.45037002989272,-79.96369297010727,40.44767037010728,-79.96639262989272,40.449006,-79.9651031,420030501002
OPERATIONAL,"819 Wood St, Pittsburgh, PA 15221",Soul Food Connection,1,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",140,40.4425442,-79.8854781,40.44387757989272,-79.88407862010727,40.44117792010728,-79.88677827989272,40.4425442,-79.8854781,420035647003
OPERATIONAL,"1728 E Carson St, Pittsburgh, PA 15203",Soul & Sea,NA,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",34,40.4285784,-79.9810547,40.43003102989273,-79.97969347010728,40.42733137010728,-79.98239312989271,40.4285784,-79.9810547,420031702004
OPERATIONAL,"11632 Frankstown Rd, Penn Hills, PA 15235",Soul Pitt Media,NA,0,"['point_of_interest', 'establishment']",0,40.4651587,-79.82733499999999,40.46647287989272,-79.82595677010727,40.46377322010728,-79.82865642989272,40.4651587,-79.827335,420035234006
OPERATIONAL,"75 S 17th St, Pittsburgh, PA 15203",South Side BBQ Company,1,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",259,40.429375,-79.98178500000002,40.43072892989272,-79.98053667010728,40.42802927010727,-79.98323632989272,40.429375,-79.981785,420031702002
OPERATIONAL,"Oakdale, PA 15071",STRONG AMBITIOUS WOMEN LLC,NA,5,"['secondary_school', 'school', 'point_of_interest', 'establishment']",1,40.3981246,-80.1856134,40.39947442989271,-80.18426357010728,40.39677477010727,-80.18696322989273,40.3981246,-80.1856134,420034550001
OPERATIONAL,"7620 Frankstown Ave #1624, Pittsburgh, PA 15208",Strong II Dry Cleaners,NA,4.6,"['laundry', 'point_of_interest', 'establishment']",21,40.455514,-79.889315,40.45699442989272,-79.88791227010728,40.45429477010727,-79.89061192989271,40.455514,-79.889315,420031308001
OPERATIONAL,"3747 William Penn Hwy D, Monroeville, PA 15146",Success Barber Shop,NA,3.8,"['hair_care', 'health', 'point_of_interest', 'establishment']",63,40.437214,-79.78706,40.43840652989272,-79.78563562010729,40.43570687010728,-79.78833527989272,40.437214,-79.78706,420035212001
OPERATIONAL,"5929 Baum Blvd, Pittsburgh, PA 15206",Tana Ethiopian Cuisine,2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",347,40.46063789999999,-79.9268814,40.46198772989272,-79.92553157010728,40.45928807010727,-79.92823122989273,40.4606379,-79.9268814,420031115002
OPERATIONAL,"5744 Baum Blvd, Pittsburgh, PA 15206",The Barbers Inn,NA,4,"['hair_care', 'health', 'point_of_interest', 'establishment']",55,40.4586925,-79.9322439,40.46010007989272,-79.93092292010729,40.45740042010728,-79.93362257989274,40.4586925,-79.9322439,420031115001
OPERATIONAL,"732 E Warrington Ave, Pittsburgh, PA 15210",The Black Unicorn: Library and Archives Project,NA,0,"['library', 'point_of_interest', 'establishment']",0,40.4215555,-79.9944671,40.42301862989272,-79.99312097010727,40.42031897010727,-79.99582062989272,40.4215555,-79.9944671,420031803002
